"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 07 15:52:29 WAT 2023","Sat Jan 07 15:52:35 WAT 2023","6141","firefox","sign_in.spec.js","","","","test",""
"broken","Sat Jan 07 15:52:14 WAT 2023","Sat Jan 07 15:52:46 WAT 2023","31999","firefox","delete.spec.js","","","","test",""
"passed","Sat Jan 07 15:52:21 WAT 2023","Sat Jan 07 15:52:27 WAT 2023","6567","firefox","login.spec.js","","","","test",""
"passed","Sat Jan 07 15:52:17 WAT 2023","Sat Jan 07 15:52:21 WAT 2023","3561","firefox","example.spec.js","","","","homepage has title and links to intro page",""
"passed","Sat Jan 07 15:52:28 WAT 2023","Sat Jan 07 15:52:36 WAT 2023","7728","firefox","search.spec.js","","","","test ampoule",""
"passed","Sat Jan 07 15:52:00 WAT 2023","Sat Jan 07 15:52:07 WAT 2023","6836","chromium","logout.spec.js","","","","test",""
"passed","Sat Jan 07 15:51:55 WAT 2023","Sat Jan 07 15:52:00 WAT 2023","5398","chromium","example.spec.js","","","","homepage has title and links to intro page",""
"passed","Sat Jan 07 15:52:14 WAT 2023","Sat Jan 07 15:52:23 WAT 2023","9764","firefox","add_cart.spec.js","","","","test",""
"passed","Sat Jan 07 15:52:10 WAT 2023","Sat Jan 07 15:52:17 WAT 2023","6213","chromium","sign_in.spec.js","","","","test",""
"passed","Sat Jan 07 15:51:55 WAT 2023","Sat Jan 07 15:52:10 WAT 2023","15379","chromium","login.spec.js","","","","test",""
"passed","Sat Jan 07 15:52:06 WAT 2023","Sat Jan 07 15:52:13 WAT 2023","7103","chromium","search.spec.js","","","","test t-shirt",""
"broken","Sat Jan 07 15:51:55 WAT 2023","Sat Jan 07 15:52:27 WAT 2023","32566","chromium","delete.spec.js","","","","test",""
"passed","Sat Jan 07 15:51:55 WAT 2023","Sat Jan 07 15:52:06 WAT 2023","11280","chromium","add_cart.spec.js","","","","test",""
"passed","Sat Jan 07 15:52:07 WAT 2023","Sat Jan 07 15:52:13 WAT 2023","5744","chromium","search.spec.js","","","","test ampoule",""
"passed","Sat Jan 07 15:52:27 WAT 2023","Sat Jan 07 15:52:33 WAT 2023","5644","firefox","search.spec.js","","","","test t-shirt",""
"passed","Sat Jan 07 15:52:23 WAT 2023","Sat Jan 07 15:52:29 WAT 2023","5308","firefox","logout.spec.js","","","","test",""
